Date	DTE	Exp	ESH	Strike	Call	Put	Total	Premium / Day
11/23/22	30	12/23/22	4043	4040	95.25	92.5	187.75	6.26
11/25/22	28	12/23/22	4072	4070	86	86.25	172.25	6.15
11/28/22	32	12/30/22	4046.25	4050	92.75	96.75	189.5	5.92
11/29/22	31	12/30/22	4011.25	4010	95.75	94.5	190.25	6.14
11/30/22	30	12/20/22	3994	3990	97	93.5	190.5	6.35
12/01/22	29	12/30/22	4120.5	4120	87.25	87	174.25	6.01
12/02/22	28	12/30/22	4077	4080	80.25	83.5	163.75	5.85
12/05/22	32	01/06/23	4047	4050	90.75	93.75	184.5	5.77
12/06/22	31	01/06/23	4975.25	3980	92.75	97.5	190.25	6.14
12/07/22	30	01/06/23	3987	3990	95.25	98.5	193.75	6.46
12/08/22	29	01/06/23	3975.5	3980	94.25	98.25	192.5	6.64
12/09/22	28	01/06/23	3998	4000	91	93.25	184.25	6.58
12/12/22	32	01/13/23	3971	3970	109	108.25	217.25	6.79
12/13/22	31	01/13/23	4121.25	4120	97.75	97.5	195.25	6.30
12/14/22	30	01/13/23	4051	4050	97.75	97	194.75	6.49
12/15/22	29	01/13/23	3946.25	3950	88.75	95.75	184.5	6.36
12/16/22	28	01/13/23	3887.75	3890	92.75	95	187.75	6.71
12/19/22	32	01/20/23	3823.5	3820	99	95.5	194.5	6.08
12/20/22	31	01/20/23	3864.25	3860	92.75	89.75	182.5	5.89
12/21/22	30	01/20/23	3879.25	3880	85.75	86.75	172.5	5.75
12/22/22	29	01/20/23	3825.75	3830	87.75	92	179.75	6.20
12/23/22	28	01/20/23	3829.5	3830	90.5	91	181.5	6.48
12/26/22	32	01/27/23	3897.75	3900	92.75	95	187.75	5.87
12/27/22	31	01/27/23	3859	3860	91.75	92.75	184.5	5.95
12/28/22	30	01/27/23	3823.5	3820	92.75	89.25	182	6.07
12/29/22	29	01/27/23	3867.5	3860	93.25	85.75	179	6.17
